Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
40,40,2019-01-08,20-180,LAC,,CHO,W (+19),1,21:07,3,6,.500,0,0,,2,2,1.000,0,3,3,2,3,4,2,2,8,10.3,-9
41,41,2019-01-10,20-182,LAC,@,DEN,L (-21),1,20:26,1,4,.250,1,2,.500,0,0,,0,2,2,1,1,0,3,1,3,-0.5,-21
42,42,2019-01-12,20-184,LAC,,DET,L (-5),1,16:52,3,7,.429,0,1,.000,1,1,1.000,0,1,1,4,1,0,2,2,7,4.6,+3
43,43,2019-01-14,20-186,LAC,,NOP,L (-4),1,12:59,0,3,.000,0,1,.000,0,0,,0,0,0,2,0,1,2,2,0,-2.8,-13
44,44,2019-01-16,20-188,LAC,,UTA,L (-20),1,22:04,4,8,.500,0,2,.000,0,0,,0,1,1,2,0,0,4,1,8,1.3,-19
45,45,2019-01-18,20-190,LAC,,GSW,L (-18),1,42:30,7,17,.412,0,3,.000,10,10,1.000,1,2,3,5,3,0,2,2,24,19.9,-10
46,46,2019-01-20,20-192,LAC,@,SAS,W (+8),1,37:40,3,15,.200,1,2,.500,0,0,,1,3,4,3,0,0,3,3,7,-2.8,-4
47,47,2019-01-22,20-194,LAC,@,DAL,L (-8),1,20:22,4,14,.286,0,2,.000,0,0,,0,1,1,1,0,1,0,1,8,1.1,+5
48,48,2019-01-23,20-195,LAC,@,MIA,W (+12),1,30:50,5,10,.500,0,1,.000,0,0,,0,2,2,3,1,0,1,3,10,6.5,+1
49,49,2019-01-25,20-197,LAC,@,CHI,W (+5),1,21:50,2,6,.333,0,2,.000,2,3,.667,0,0,0,5,0,0,2,1,6,3.3,-7
50,50,2019-01-27,20-199,LAC,,SAC,W (+14),1,31:14,5,9,.556,0,1,.000,7,7,1.000,2,2,4,5,2,0,1,3,17,18.0,-2
51,51,2019-01-28,20-200,LAC,,ATL,L (-5),1,24:27,5,7,.714,1,2,.500,0,0,,1,1,2,2,2,0,2,4,11,8.9,-6
52,52,2019-01-31,20-203,LAC,,LAL,L (-3),1,21:12,4,12,.333,1,4,.250,1,2,.500,0,2,2,3,2,0,0,3,10,6.3,-12
53,53,2019-02-02,20-205,LAC,@,DET,W (+10),1,30:01,4,9,.444,1,3,.333,5,8,.625,1,6,7,5,3,1,2,4,14,14.2,+9
54,54,2019-02-03,20-206,LAC,@,TOR,L (-18),1,26:11,9,15,.600,0,0,,1,2,.500,1,4,5,3,1,2,1,0,19,17.1,-12
55,55,2019-02-05,20-208,LAC,@,CHO,W (+2),1,17:39,2,8,.250,0,0,,2,2,1.000,2,0,2,3,0,0,0,0,6,4.7,-18
56,56,2019-02-07,20-210,LAC,@,IND,L (-24),1,26:00,2,4,.500,0,1,.000,4,4,1.000,1,0,1,6,0,1,5,4,8,5.0,-9
57,57,2019-02-09,20-212,LAC,@,BOS,W (+11),1,25:49,5,8,.625,1,2,.500,3,4,.750,1,3,4,5,2,1,5,3,14,11.6,+11
58,58,2019-02-11,20-214,LAC,@,MIN,L (-10),1,22:00,4,8,.500,2,3,.667,0,0,,0,1,1,1,1,0,3,2,10,4.2,-17
59,59,2019-02-13,20-216,LAC,,PHO,W (+27),1,21:38,4,7,.571,0,1,.000,2,4,.500,1,3,4,3,2,1,1,1,10,10.9,+20
60,60,2019-02-22,20-225,LAC,@,MEM,W (+6),1,15:21,1,4,.250,0,0,,4,4,1.000,0,2,2,4,1,0,3,2,6,4.2,-2
61,61,2019-02-24,20-227,LAC,@,DEN,L (-27),1,29:49,0,9,.000,0,3,.000,1,2,.500,0,1,1,4,2,1,4,2,1,-4.7,-24
62,62,2019-02-25,20-228,LAC,,DAL,W (+9),1,17:25,0,4,.000,0,3,.000,0,0,,0,2,2,0,2,0,0,0,0,-0.2,-8
63,63,2019-02-27,20-230,LAC,@,UTA,L (-6),1,19:20,6,8,.750,1,2,.500,0,0,,0,1,1,1,1,1,0,5,13,10.5,-1
64,64,2019-03-01,20-232,LAC,@,SAC,W (+7),1,32:23,6,13,.462,3,3,1.000,0,0,,2,4,6,1,1,0,1,4,15,10.0,0
65,65,2019-03-03,20-234,LAC,,NYK,W (+21),1,29:13,6,9,.667,2,3,.667,1,1,1.000,0,3,3,4,1,0,1,3,15,13.6,+19
66,66,2019-03-04,20-235,LAC,@,LAL,W (+8),1,24:06,5,9,.556,1,2,.500,3,3,1.000,0,1,1,4,0,2,0,1,14,13.8,-1
67,67,2019-03-08,20-239,LAC,,OKC,W (+8),1,25:37,3,7,.429,1,2,.500,2,2,1.000,0,1,1,1,1,0,1,4,9,4.7,-4
68,68,2019-03-11,20-242,LAC,,BOS,W (+25),1,21:54,4,7,.571,1,1,1.000,3,3,1.000,2,3,5,3,1,0,4,1,12,9.7,+1
69,69,2019-03-12,20-243,LAC,,POR,L (-21),1,26:56,6,11,.545,1,1,1.000,2,4,.500,1,1,2,4,2,0,3,3,15,10.5,-12
70,70,2019-03-15,20-246,LAC,,CHI,W (+7),1,29:54,7,12,.583,1,2,.500,2,4,.500,1,6,7,7,3,1,1,3,17,19.5,+18
71,71,2019-03-17,20-248,LAC,,BRK,W (+3),1,35:34,5,12,.417,3,5,.600,1,2,.500,0,2,2,10,0,0,2,3,14,11.6,+18
72,72,2019-03-19,20-250,LAC,,IND,W (+6),1,28:35,6,9,.667,1,2,.500,4,6,.667,0,3,3,3,2,0,0,1,17,16.9,+6
73,73,2019-03-22,20-253,LAC,@,CLE,W (+2),1,34:32,5,11,.455,1,1,1.000,5,5,1.000,1,1,2,5,2,0,1,2,16,15.0,+4
74,74,2019-03-24,20-255,LAC,@,NYK,W (+11),1,37:44,3,10,.300,0,4,.000,4,4,1.000,0,2,2,8,1,1,1,3,10,9.9,+6
75,75,2019-03-26,20-257,LAC,@,MIN,W (+11),1,30:46,4,8,.500,0,1,.000,2,2,1.000,1,3,4,4,1,0,0,3,10,10.2,+8
76,76,2019-03-28,20-259,LAC,@,MIL,L (-10),1,31:46,8,15,.533,1,2,.500,4,5,.800,1,5,6,2,1,2,3,2,21,15.5,-16
77,77,2019-03-30,20-261,LAC,,CLE,W (+24),1,27:40,9,12,.750,3,3,1.000,1,2,.500,1,1,2,8,1,0,1,1,22,23.0,+7
78,78,2019-03-31,20-262,LAC,,MEM,W (+17),1,28:13,2,6,.333,0,0,,2,2,1.000,1,3,4,3,4,2,2,3,6,8.5,+9
79,79,2019-04-03,20-265,LAC,,HOU,L (-32),1,32:55,8,16,.500,1,3,.333,3,5,.600,2,2,4,4,2,0,3,2,20,14.2,-8
80,80,2019-04-05,20-267,LAC,,LAL,L (-5),1,37:00,10,19,.526,0,4,.000,0,0,,2,6,8,6,1,1,1,3,20,17.6,+5
81,81,2019-04-07,20-269,LAC,@,GSW,L (-27),1,29:34,5,10,.500,0,1,.000,2,3,.667,0,1,1,3,1,0,0,0,12,10.0,-28
82,82,2019-04-10,20-272,LAC,,UTA,W (+6),1,24:06,3,6,.500,0,0,,2,2,1.000,0,2,2,3,2,0,1,4,8,7.1,+5
1,1,2019-10-23,21-103,OKC,@,UTA,L (-5),1,36:46,10,23,.435,3,7,.429,3,6,.500,0,2,2,1,1,0,1,2,26,13.2,-12
2,2,2019-10-25,21-105,OKC,,WAS,L (-12),1,36:04,10,17,.588,2,4,.500,6,8,.750,0,7,7,4,2,3,2,2,28,25.5,-1
3,3,2019-10-27,21-107,OKC,,GSW,W (+28),1,29:40,8,14,.571,1,5,.200,2,4,.500,0,9,9,4,0,2,3,1,19,15.1,+27
4,4,2019-10-28,21-108,OKC,@,HOU,L (-4),1,35:55,8,21,.381,2,6,.333,4,4,1.000,3,6,9,4,0,0,0,2,22,16.4,+5
5,5,2019-10-30,21-110,OKC,,POR,L (-3),1,35:47,3,13,.231,0,2,.000,7,10,.700,3,5,8,3,1,0,4,2,13,5.8,-12
6,6,2019-11-02,21-113,OKC,,NOP,W (+11),1,35:31,8,14,.571,3,5,.600,4,5,.800,1,7,8,4,0,1,1,0,23,21.3,+12
7,7,2019-11-05,21-116,OKC,,ORL,W (+8),1,35:56,9,14,.643,3,5,.600,3,4,.750,0,3,3,2,1,1,1,1,24,20.0,+14
8,8,2019-11-07,21-118,OKC,@,SAS,L (-9),1,34:01,9,18,.500,0,1,.000,3,3,1.000,0,1,1,3,0,0,2,1,21,12.0,-9
9,9,2019-11-09,21-120,OKC,,GSW,W (+6),1,36:33,6,15,.400,0,3,.000,0,0,,1,4,5,3,0,0,3,2,12,4.1,-2
10,10,2019-11-10,21-121,OKC,,MIL,L (-2),1,36:48,9,19,.474,4,6,.667,0,0,,1,5,6,6,2,0,2,1,22,18.3,-8
11,11,2019-11-12,21-123,OKC,@,IND,L (-26),1,28:13,3,12,.250,1,3,.333,4,4,1.000,3,3,6,0,1,0,3,1,11,4.4,-19
12,12,2019-11-15,21-126,OKC,,PHI,W (+8),1,40:25,9,19,.474,1,3,.333,5,6,.833,0,2,2,3,2,0,2,2,24,15.8,+1
13,13,2019-11-18,21-129,OKC,@,LAC,L (-2),1,30:37,4,10,.400,1,4,.250,2,2,1.000,0,1,1,0,1,0,5,5,11,-0.1,0
14,14,2019-11-19,21-130,OKC,@,LAL,L (-5),1,36:09,5,16,.313,2,6,.333,4,4,1.000,1,4,5,4,1,1,2,0,16,11.2,-9
15,15,2019-11-22,21-133,OKC,,LAL,L (-3),1,36:05,10,18,.556,2,2,1.000,2,2,1.000,1,6,7,4,1,1,2,1,24,20.0,-3
16,16,2019-11-25,21-136,OKC,@,GSW,W (+3),1,31:30,5,12,.417,0,0,,2,2,1.000,0,5,5,3,2,1,3,3,12,7.7,+13
17,17,2019-11-27,21-138,OKC,@,POR,L (-17),1,29:40,4,10,.400,0,2,.000,3,5,.600,0,2,2,5,0,0,0,4,11,7.3,-26
18,18,2019-11-29,21-140,OKC,,NOP,W (+5),1,33:15,4,13,.308,1,6,.167,1,2,.500,0,1,1,3,2,0,4,3,10,1.3,+3
19,19,2019-12-01,21-142,OKC,@,NOP,W (+3),1,33:05,5,17,.294,2,8,.250,5,6,.833,1,8,9,2,1,0,2,2,17,9.4,+5
20,20,2019-12-04,21-145,OKC,,IND,L (-7),1,36:22,7,19,.368,1,7,.143,1,1,1.000,0,3,3,3,1,0,2,1,16,7.1,-19
21,21,2019-12-06,21-147,OKC,,MIN,W (+12),1,41:32,8,13,.615,1,1,1.000,12,12,1.000,1,4,5,2,1,0,3,2,29,23.6,+9
22,22,2019-12-08,21-149,OKC,@,POR,W (+12),1,38:16,5,14,.357,2,4,.500,9,12,.750,0,9,9,3,1,0,1,2,21,16.0,+6
23,23,2019-12-09,21-150,OKC,@,UTA,W (+14),1,33:28,7,20,.350,2,5,.400,4,6,.667,0,6,6,3,2,0,1,2,20,12.1,+5
24,24,2019-12-11,21-152,OKC,@,SAC,L (-1),1,35:33,4,11,.364,0,1,.000,6,8,.750,0,4,4,4,1,1,3,3,14,8.6,-3
25,25,2019-12-14,21-155,OKC,@,DEN,L (-8),1,37:44,7,13,.538,0,1,.000,2,2,1.000,0,4,4,3,0,0,2,4,16,9.4,-5
26,26,2019-12-16,21-157,OKC,,CHI,W (+3),1,34:24,1,3,.333,0,1,.000,5,8,.625,0,3,3,2,1,0,5,0,7,2.4,-1
27,27,2019-12-18,21-159,OKC,,MEM,W (+4),1,38:42,7,16,.438,0,3,.000,6,6,1.000,2,7,9,1,2,2,1,1,20,17.8,+14
28,28,2019-12-20,21-161,OKC,,PHO,W (+18),1,36:06,13,18,.722,2,2,1.000,4,5,.800,0,4,4,3,1,0,0,2,32,27.7,+11
29,29,2019-12-22,21-163,OKC,,LAC,W (+6),1,34:29,12,25,.480,2,3,.667,6,6,1.000,0,3,3,5,2,0,2,2,32,22.9,+16
30,30,2019-12-26,21-167,OKC,,MEM,L (-13),1,37:08,8,19,.421,1,6,.167,4,4,1.000,0,3,3,1,3,0,1,0,21,14.5,-9
31,31,2019-12-27,21-168,OKC,@,CHO,W (+2),1,36:01,10,17,.588,1,1,1.000,6,8,.750,1,3,4,1,2,0,1,1,27,21.2,-1
32,32,2019-12-29,21-170,OKC,@,TOR,W (+1),1,38:47,12,21,.571,3,5,.600,5,6,.833,2,5,7,2,3,0,3,1,32,25.6,-6
33,33,2019-12-31,21-172,OKC,,DAL,W (+5),1,35:12,6,15,.400,0,2,.000,7,8,.875,2,8,10,3,2,1,0,1,19,18.7,+4
34,34,2020-01-02,21-174,OKC,@,SAS,W (+6),1,36:11,10,18,.556,2,4,.500,3,4,.750,0,7,7,5,1,2,1,1,25,22.6,+15
35,35,2020-01-04,21-176,OKC,@,CLE,W (+15),1,34:25,9,14,.643,0,3,.000,2,2,1.000,0,7,7,0,2,0,2,2,20,15.1,+16
36,36,2020-01-06,21-178,OKC,@,PHI,L (-7),1,36:38,6,13,.462,0,3,.000,2,5,.400,2,7,9,2,0,0,0,1,14,10.6,-13
37,37,2020-01-07,21-179,OKC,@,BRK,W (+8),1,38:37,8,18,.444,0,3,.000,6,6,1.000,2,2,4,2,2,0,4,0,22,14.0,+14
38,38,2020-01-09,21-181,OKC,,HOU,W (+21),1,30:44,8,15,.533,1,3,.333,3,3,1.000,0,3,3,3,1,0,0,1,20,16.3,+28
39,39,2020-01-11,21-183,OKC,,LAL,L (-15),1,34:52,8,17,.471,1,4,.250,7,7,1.000,0,8,8,0,1,1,1,0,24,18.4,-12
40,40,2020-01-13,21-185,OKC,@,MIN,W (+13),1,36:26,8,12,.667,2,3,.667,2,2,1.000,2,18,20,10,0,1,2,1,20,26.9,+23
41,41,2020-01-15,21-187,OKC,,TOR,L (-9),1,37:44,6,10,.600,2,2,1.000,7,7,1.000,0,6,6,6,3,1,3,2,21,22.3,-6
42,42,2020-01-17,21-189,OKC,,MIA,L (-7),1,37:10,5,13,.385,2,6,.333,6,6,1.000,0,5,5,8,1,0,1,4,18,16.4,-10
43,43,2020-01-18,21-190,OKC,,POR,W (+13),1,34:34,9,17,.529,0,4,.000,4,6,.667,3,7,10,5,0,0,2,1,22,18.2,+10
44,44,2020-01-20,21-192,OKC,@,HOU,W (+5),1,38:54,5,10,.500,0,1,.000,3,4,.750,0,10,10,1,3,1,1,0,13,14.0,+1
45,45,2020-01-22,21-194,OKC,@,ORL,W (+6),1,37:36,7,10,.700,0,0,,4,5,.800,0,12,12,1,3,3,3,4,18,18.2,+9
46,46,2020-01-24,21-196,OKC,,ATL,W (+29),1,37:12,7,16,.438,0,2,.000,10,13,.769,1,2,3,6,1,3,3,1,24,19.6,+25
47,47,2020-01-25,21-197,OKC,@,MIN,W (+9),1,34:08,3,14,.214,0,2,.000,5,6,.833,0,7,7,2,1,2,3,3,11,3.7,-9
48,48,2020-01-27,21-199,OKC,,DAL,L (-10),1,32:13,5,20,.250,3,6,.500,3,4,.750,1,10,11,4,0,1,3,1,16,7.4,-6
49,49,2020-01-29,21-201,OKC,@,SAC,W (+20),1,38:37,6,13,.462,3,5,.600,2,3,.667,0,7,7,7,1,2,2,2,17,16.5,+25
50,50,2020-01-31,21-203,OKC,@,PHO,W (+4),1,34:00,5,16,.313,0,5,.000,2,2,1.000,3,6,9,4,0,1,1,2,12,8.4,+19
51,51,2020-02-05,21-208,OKC,,CLE,W (+6),1,39:19,9,17,.529,2,5,.400,3,4,.750,0,10,10,3,2,2,2,4,23,19.2,-2
52,52,2020-02-07,21-210,OKC,,DET,W (+7),1,36:23,7,13,.538,1,3,.333,6,9,.667,2,0,2,1,0,2,1,2,21,15.2,+10
53,53,2020-02-09,21-212,OKC,,BOS,L (-1),1,33:05,8,12,.667,3,4,.750,5,7,.714,0,6,6,4,0,0,1,1,24,21.2,+2
54,54,2020-02-11,21-214,OKC,,SAS,L (-8),1,33:04,6,11,.545,2,3,.667,3,4,.750,0,5,5,2,1,0,0,2,17,14.4,-1
55,55,2020-02-13,21-216,OKC,@,NOP,W (+5),1,37:10,6,14,.429,2,6,.333,3,4,.750,0,3,3,7,1,0,0,2,17,15.2,+5
56,56,2020-02-21,21-224,OKC,,DEN,W (+12),1,38:41,4,14,.286,0,3,.000,3,4,.750,2,7,9,9,0,1,1,3,11,10.7,+12
57,57,2020-02-23,21-226,OKC,,SAS,W (+28),1,31:45,8,14,.571,1,2,.500,5,5,1.000,2,11,13,4,0,0,3,0,22,19.9,+22
58,58,2020-02-25,21-228,OKC,@,CHI,W (+2),1,33:58,5,11,.455,2,5,.400,9,12,.750,1,10,11,3,1,2,3,1,21,18.9,-1
59,59,2020-02-27,21-230,OKC,,SAC,W (+4),1,38:00,8,15,.533,1,3,.333,3,6,.500,1,2,3,3,0,1,2,3,20,12.4,+5
60,60,2020-02-28,21-231,OKC,@,MIL,L (-47),1,26:52,5,12,.417,1,3,.333,0,1,.000,0,3,3,2,0,0,2,1,11,4.1,-36
61,61,2020-03-03,21-235,OKC,,LAC,L (-15),1,33:58,7,12,.583,1,2,.500,0,0,,0,6,6,2,1,3,2,2,15,12.9,-22
62,62,2020-03-04,21-236,OKC,@,DET,W (+7),1,34:32,12,15,.800,2,4,.500,1,1,1.000,0,2,2,3,2,2,1,0,27,26.4,+12
63,63,2020-03-06,21-238,OKC,@,NYK,W (+23),1,21:40,6,10,.600,1,3,.333,5,6,.833,0,3,3,5,2,0,0,4,18,17.8,+14
64,,2020-03-08,21-240,OKC,@,BOS,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,64,2020-08-01,22-020,OKC,,UTA,W (+16),1,32:23,6,12,.500,2,5,.400,5,6,.833,0,2,2,6,3,0,2,1,19,18.0,+15
66,65,2020-08-03,22-022,OKC,,DEN,L (-8),1,38:02,6,13,.462,3,6,.500,9,11,.818,0,5,5,2,0,0,3,5,24,14.4,-9
67,66,2020-08-05,22-024,OKC,@,LAL,W (+19),1,35:30,3,11,.273,1,4,.250,6,6,1.000,1,6,7,5,3,1,2,0,13,14.2,+9
68,67,2020-08-07,22-026,OKC,@,MEM,L (-29),1,34:23,3,13,.231,1,8,.125,3,4,.750,0,3,3,3,1,0,3,0,10,2.7,-9
69,68,2020-08-09,22-028,OKC,,WAS,W (+18),1,35:56,6,12,.500,0,2,.000,6,8,.750,1,5,6,7,1,0,2,2,18,16.5,+8
70,,2020-08-10,22-029,OKC,@,PHO,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,69,2020-08-12,22-031,OKC,,MIA,W (+1),1,24:32,6,9,.667,2,3,.667,4,4,1.000,0,1,1,1,0,1,2,1,18,13.4,-23
72,70,2020-08-14,22-033,OKC,@,LAC,L (-4),1,13:31,6,10,.600,0,1,.000,1,1,1.000,0,4,4,0,1,0,3,0,13,7.6,+12
1,1,2020-12-26,22-167,OKC,@,CHO,W (+2),1,34:22,8,20,.400,1,6,.167,7,10,.700,2,5,7,9,0,1,5,4,24,15.3,+14
2,2,2020-12-28,22-169,OKC,,UTA,L (-1),1,36:25,9,21,.429,1,7,.143,4,4,1.000,0,3,3,7,1,1,4,3,23,14.2,+4
3,3,2020-12-29,22-170,OKC,,ORL,L (-11),1,33:20,8,10,.800,3,3,1.000,4,5,.800,0,7,7,7,0,0,5,1,23,20.4,-8
4,4,2020-12-31,22-172,OKC,,NOP,L (-33),1,28:30,3,10,.300,2,6,.333,0,2,.000,1,3,4,4,2,0,2,2,8,5.0,-14
5,5,2021-01-02,22-174,OKC,@,ORL,W (+9),1,34:46,5,17,.294,2,9,.222,4,5,.800,0,4,4,7,0,1,1,3,16,10.3,+1
6,6,2021-01-04,22-176,OKC,@,MIA,L (-28),1,27:51,7,15,.467,2,6,.333,2,2,1.000,0,2,2,4,0,0,2,2,18,10.9,-21
7,7,2021-01-06,22-178,OKC,@,NOP,W (+1),1,36:30,7,17,.412,2,7,.286,5,6,.833,0,5,5,9,5,0,2,2,21,21.5,-4
8,8,2021-01-08,22-180,OKC,@,NYK,W (+12),1,34:29,9,14,.643,3,3,1.000,4,6,.667,4,6,10,7,0,1,3,2,25,24.4,+3
9,9,2021-01-10,22-182,OKC,@,BRK,W (+13),1,36:01,11,16,.688,2,4,.500,7,8,.875,1,5,6,7,2,1,2,3,31,30.4,+1
10,10,2021-01-12,22-184,OKC,,SAS,L (-10),1,33:29,7,10,.700,0,0,,6,9,.667,2,7,9,2,0,0,2,2,20,16.7,0
11,11,2021-01-13,22-185,OKC,,LAL,L (-29),1,27:16,5,12,.417,1,3,.333,6,7,.857,0,2,2,1,0,0,2,1,17,9.1,-22
12,12,2021-01-15,22-187,OKC,,CHI,W (+2),1,43:31,13,19,.684,3,5,.600,4,4,1.000,0,5,5,10,1,0,1,5,33,31.4,+18
13,13,2021-01-19,22-191,OKC,@,DEN,L (-18),1,27:13,5,11,.455,1,4,.250,3,6,.500,0,5,5,7,0,1,4,0,14,10.2,-19
14,14,2021-01-22,22-194,OKC,@,LAC,L (-14),1,38:37,11,20,.550,2,5,.400,6,6,1.000,0,3,3,8,2,0,3,2,30,25.1,-10
